"value","count"
0,7966465
1,538342
10,355667
100,45646
101,644292
1018,2941020
102,1224631
1021,3021297
1027,6117147
103,151953
1031,8438214
1034,10442703
104,357711
1041,14702788
1047,17183746
105,504112
1051,19579327
1057,25466753
106,259681
1061,12320528
1067,5248335
107,496975
1071,7309252
1077,35047439
108,517313
1081,23268238
1087,29756791
11,2295814
110,699746
111,177814
112,546807
113,137314
114,143017
115,310292
117,92424
118,106194
119,12069
12,468804
120,124760
121,8851
122,18530
123,33797
124,212388
125,30526
126,92770
127,42281
129,382738
13,1119106
130,659951
131,256505
132,838392
133,252333
134,108021
135,3769365
136,135515
137,1248331
138,954382
139,544692
14,416405
141,307092
143,979225
144,333919
145,5058947
146,961388
147,5495863
148,1897006
149,365083
15,2443529
150,397349
151,466098
152,154829
153,2259487
154,364740
155,765910
156,367891
157,856628
158,501415
159,509726
161,301214
162,5011795
163,9972263
164,41888
166,294948
167,157070
168,146979
169,156423
17,2833179
171,3737408
172,1241746
173,149021
174,98539
175,131455
176,66449
177,74600
178,36923
179,404537
18,1495334
180,1093746
181,488948
182,642267
183,357073
184,675170
185,326
186,8545
187,67450
188,216
189,7020
19,860379
190,36653
191,190072
192,682
193,124083
194,126841
195,200248
196,210128
197,17252
198,221390
199,14710
2,378098
20,372161
200,565662
202,282006
203,1877364
204,99156
205,596410
206,520984
207,745191
208,921
209,1053888
21,133130
210,4560849
212,1208667
214,271477
215,110
216,7924602
218,8387961
219,14432
220,566
221,6201
222,186456
223,2061357
224,2935841
227,3537
228,10028
231,46221
232,13
237,2600
24,55360
244,35486
245,15663
247,29452
248,10869
248100,771513
248200,794293
248300,322066
248400,461585
248500,2994149
248600,6831802
249,2590
25,354453
250,29087
251,162058
255,253756
258410,5270806
258420,1779511
258431,564960
258432,746880
258441,1227482
258442,1615944
258510,589530
258520,277140
258600,378718
258700,158230
26,768796
28,191481
288100,3461411
288200,5751682
288300,2605874
29,73005
3,495484
30,50047
31,1536024
32,365329
33,71629
34,139921
35,143894
36,311479
37,1468232
38,736137
39,1056301
4,544254
40,687899
41,658630
42,2061867
43,129217
44,898432
45,91949
46,8047
47,632716
48,618112
49,76727
5,1591735
50,254126
51,13626
52,9532
53,255334
54,63706
55,1099002
56,922092
57,522149
58,523942
59,3962
6,726753
60,494
61,116087
62,316244
63,288493
64,179235
65,26359
66,181155
67,409751
68,64232
69,33054
7,1862756
70,41773
71,40290
72,34036
73,8730608
74,26252
75,154691
76,293882
77,11683
78,22120
79,31893
8,696453
80,596020
81,123232
82,12845
84,147687
85,509150
86,512408
88,865460
89,1660165
9,3450034
90,542241
91,658165
92,583888
93,657938
94,476932
95,642994
96,184605
97,283727
98,17776
99,34841
NA,321917199
